"CensusTract","State","County","Urban","Pop2010","OHU2010","LowIncomeTracts","PovertyRate","MedianFamilyIncome","foodDesert"
"12127091022","Florida","Volusia County","1",7540,2681,"0",9.6,58989,1
"4013618900","Arizona","Maricopa County","1",6215,2728,"0",12.8,68808,1
"6037106407","California","Los Angeles County","1",2933,822,"1",23.8,45208,1
"6059042338","California","Orange County","1",4580,1900,"0",5.6,134205,1
"15003008407","Hawaii","Honolulu County","1",3325,1067,"0",12.1,120750,1
"12103023800","Florida","Pinellas County","1",2332,1117,"0",6.4,107143,1
"51760050400","Virginia","Richmond city","1",2907,1257,"0",1,219844,1
"48167726100","Texas","Galveston County","0",2935,1468,"0",3.9,102083,1
"32003005503","Nevada","Clark County","1",3054,1422,"0",11.7,71207,1
"54049021400","West Virginia","Marion County","0",1941,814,"0",12.2,68807,1
"26163506300","Michigan","Wayne County","1",2352,791,"1",43.5,26458,1
"45059920502","South Carolina","Laurens County","0",6104,2286,"1",35.9,36490,1
"42071013502","Pennsylvania","Lancaster County","1",4229,1918,"0",6.3,75190,1
"53033032315","Washington","King County","1",5256,1879,"0",3.3,163919,1
"39023001102","Ohio","Clark County","1",2841,1205,"1",15.1,52006,1
"17089853007","Illinois","Kane County","1",5440,1704,"1",17.7,53932,1
"47037017401","Tennessee","Davidson County","1",2238,888,"1",15.5,49567,1
"51183870400","Virginia","Sussex County","0",1767,735,"1",23.4,50000,1
"42029308000","Pennsylvania","Chester County","1",5077,1831,"1",16.1,57321,1
"47165021006","Tennessee","Sumner County","0",3145,1084,"0",1.4,124786,1
"20177002701","Kansas","Shawnee County","1",4515,1964,"0",4.6,68750,1
"55079007400","Wisconsin","Milwaukee County","1",4122,555,"1",24.3,175417,1
"17089853500","Illinois","Kane County","1",7049,1712,"1",14.2,54653,1
"51087200414","Virginia","Henrico County","1",5815,1994,"0",7.4,97528,1
"12086005600","Florida","Miami-Dade County","1",4700,1748,"0",13.2,54432,1
"22057020202","Louisiana","Lafourche Parish","1",3470,1333,"0",7,86944,1
"32031000700","Nevada","Washoe County","1",5689,2469,"1",14.8,47500,1
"24021751702","Maryland","Frederick County","0",3567,1298,"0",9.9,107000,1
"18019050303","Indiana","Clark County","1",2560,1210,"1",20.4,46548,1
"36085017005","New York","Richmond County","1",4507,1624,"0",2.7,132829,1
"49035112503","Utah","Salt Lake County","1",4633,1684,"1",10.5,64356,1
"48349970200","Texas","Navarro County","1",5878,2119,"1",23.3,67639,1
"6085503315","California","Santa Clara County","1",7481,1919,"1",10.5,95455,1
"48439105513","Texas","Tarrant County","1",2889,1716,"1",32.7,27614,1
"51169030500","Virginia","Scott County","0",4015,1725,"1",13.4,54323,1
"26019000400","Michigan","Benzie County","0",2051,942,"0",10.9,67500,1
"47093004300","Tennessee","Knox County","1",2533,1096,"0",16.3,57016,1
"8059012038","Colorado","Jefferson County","1",3160,1167,"0",0.2,89931,1
"25027737200","Massachusetts","Worcester County","1",1747,829,"1",10.6,77250,1
"6085503122","California","Santa Clara County","1",3449,1153,"1",22.8,46055,1
"48201453000","Texas","Harris County","1",7857,2033,"1",24.7,47049,1
"12017451000","Florida","Citrus County","1",5941,2753,"1",13.2,46707,1
"6037600304","California","Los Angeles County","1",3424,961,"1",30.7,32983,1
"47119010302","Tennessee","Maury County","0",2709,1007,"0",2.6,83788,1
"42043022601","Pennsylvania","Dauphin County","1",7017,2910,"0",5.6,97173,1
"6037462001","California","Los Angeles County","1",3974,1116,"1",26.7,55402,1
"37147001302","North Carolina","Pitt County","1",5177,1976,"0",8.3,80417,1
"29055450102","Missouri","Crawford County","0",6187,2384,"1",16.7,51823,1
"26035000800","Michigan","Clare County","0",4283,1567,"1",18.6,55455,1
"6037232120","California","Los Angeles County","1",5263,1307,"1",26.3,41395,1
"53073000901","Washington","Whatcom County","1",6638,2824,"1",21,71311,1
"41051009102","Oregon","Multnomah County","1",6453,2146,"1",20.7,64397,1
"39007000702","Ohio","Ashtabula County","0",2971,1159,"0",13.6,60018,1
"22109000402","Louisiana","Terrebonne Parish","1",3730,1447,"0",12.8,79625,1
"36025971300","New York","Delaware County","0",2077,900,"1",16.7,59554,1
"46099001105","South Dakota","Minnehaha County","1",6085,2346,"0",6.6,79375,1
"48121021000","Texas","Denton County","1",5724,1330,"1",36.6,40811,1
"1073011206","Alabama","Jefferson County","1",5686,2094,"0",11,79199,1
"40077087200","Oklahoma","Latimer County","0",5960,2228,"1",21.1,48607,1
"32003003610","Nevada","Clark County","1",5504,1761,"0",7.4,71630,1
"13129970900","Georgia","Gordon County","0",6929,2480,"0",9.8,58311,1
"6085511915","California","Santa Clara County","1",3806,1226,"1",10.5,77273,1
"48303010508","Texas","Lubbock County","1",7927,2539,"0",11.7,83845,1
"26049012801","Michigan","Genesee County","0",4781,1743,"0",7.2,79500,1
"41051000901","Oregon","Multnomah County","1",3890,1760,"0",7.6,115673,1
"53033030004","Washington","King County","1",8055,3084,"1",25.2,51640,1
"8069002801","Colorado","Larimer County","1",3189,1546,"0",18.8,86078,1
"1095030300","Alabama","Marshall County","0",6430,2646,"0",9.5,71034,1
"12103027326","Florida","Pinellas County","1",3182,1737,"0",9.8,65417,1
"36081066701","New York","Queens County","1",2575,1034,"0",6.1,86656,1
"36081010500","New York","Queens County","1",4244,1670,"1",20,57727,1
"12113010706","Florida","Santa Rosa County","1",7722,2977,"0",13.7,62500,1
"12031010102","Florida","Duval County","1",10076,3529,"0",8.3,87294,1
"48201552103","Texas","Harris County","1",2954,959,"0",4.4,87604,1
"6037530004","California","Los Angeles County","1",3695,1216,"1",8.6,61125,1
"24033801804","Maryland","Prince George's County","1",2022,759,"1",10.7,83264,1
"17097861901","Illinois","Lake County","1",3788,1190,"1",11.2,57540,1
"6085503803","California","Santa Clara County","1",4477,1329,"1",6.7,96273,1
"27053026018","Minnesota","Hennepin County","1",6952,2450,"0",1.5,164602,1
"42045407805","Pennsylvania","Delaware County","1",1696,569,"0",1.7,114417,1
"48201251200","Texas","Harris County","1",5584,2046,"0",14,87500,1
"40143007306","Oklahoma","Tulsa County","1",5695,1941,"1",27.6,43803,1
"6077003802","California","San Joaquin County","1",6519,1647,"1",15,62146,1
"9011690300","Connecticut","New London County","1",6280,2436,"1",35.5,39044,1
"48001950500","Texas","Anderson County","1",4377,1604,"1",21.1,38397,1
"24021751201","Maryland","Frederick County","1",4757,1593,"0",4.5,122539,1
"28039950200","Mississippi","George County","1",2773,853,"0",19.2,53487,1
"51550021301","Virginia","Chesapeake city","1",5396,1836,"0",6.7,100349,1
"42103950502","Pennsylvania","Pike County","0",3163,1309,"0",4.8,80781,1
"55025010901","Wisconsin","Dane County","1",5652,2634,"0",3.9,125682,1
"31055007471","Nebraska","Douglas County","1",3595,1287,"0",8.6,123250,1
"26125181200","Michigan","Oakland County","1",6463,2580,"0",17.6,75755,1
"1103000200","Alabama","Morgan County","1",3623,1427,"0",8,88672,1
"29095014002","Missouri","Jackson County","0",1683,651,"0",8.8,99038,1
"18097357500","Indiana","Marion County","1",4034,1519,"1",23.9,49483,1
"34013017800","New Jersey","Essex County","1",3719,1219,"0",9,85485,1
"47157007100","Tennessee","Shelby County","1",2549,1067,"0",9.6,105893,1
"28049010804","Mississippi","Hinds County","1",1739,722,"1",9.1,47708,1
"40119010200","Oklahoma","Payne County","1",5507,2676,"1",42.8,47284,1
"6085512312","California","Santa Clara County","1",2899,913,"0",7.7,145625,1
"6089012500","California","Shasta County","0",1477,727,"1",25.2,53250,1
"25017321500","Massachusetts","Middlesex County","1",6898,2600,"0",11,88646,1
"19131560300","Iowa","Mitchell County","1",3846,1706,"0",10.6,65156,1
"12057002200","Florida","Hillsborough County","1",1580,684,"0",14.9,66250,1
"48029121501","Texas","Bexar County","1",7831,2690,"0",8.4,84364,1
"12099000600","Florida","Palm Beach County","1",1466,763,"1",20.4,55250,1
"6065043222","California","Riverside County","1",3842,1271,"0",8.6,115203,1
"12115001505","Florida","Sarasota County","1",4001,1500,"0",6.6,67039,1
"26121001800","Michigan","Muskegon County","1",4775,1766,"0",9.4,61750,1
"36047045300","New York","Kings County","1",2017,590,"1",38.1,38981,1
"12103026812","Florida","Pinellas County","1",4073,2043,"0",7.1,73516,1
"21035010301","Kentucky","Calloway County","1",3140,353,"1",53.3,64063,1
"24005404502","Maryland","Baltimore County","1",3743,1530,"1",18.4,56105,1
"29097011800","Missouri","Jasper County","1",4756,1806,"1",30.3,44886,1
"19033951000","Iowa","Cerro Gordo County","0",2864,1184,"0",8.5,75268,1
"39113020300","Ohio","Montgomery County","1",2628,1174,"0",3.7,117222,1
"6073017037","California","San Diego County","1",5880,2031,"0",10.4,113036,1
"2195000200","Alaska","Petersburg Borough","0",3815,1599,"0",8.2,78482,1
"38035010801","North Dakota","Grand Forks County","1",4428,1807,"0",19.4,87500,1
"12081002003","Florida","Manatee County","1",3993,1768,"0",7.1,95148,1
"26163581200","Michigan","Wayne County","1",3706,1751,"0",8.8,71603,1
"48121021739","Texas","Denton County","1",3585,1555,"1",29.9,37644,1
"40003956000","Oklahoma","Alfalfa County","0",2835,792,"0",6.5,59716,1
"13321950400","Georgia","Worth County","0",4590,1769,"1",19.7,47064,2
"18097342300","Indiana","Marion County","1",6471,2455,"1",30.3,41218,2
"12033001402","Florida","Escambia County","1",6163,2546,"1",14.6,52744,2
"28107950200","Mississippi","Panola County","0",2687,994,"1",34.7,37055,2
"41029001800","Oregon","Jackson County","1",7817,3752,"1",22.4,80923,2
"18089021800","Indiana","Lake County","1",3696,1439,"1",29,37260,2
"42055011200","Pennsylvania","Franklin County","1",2958,1140,"1",28.2,50861,2
"1089002300","Alabama","Madison County","1",5172,2197,"1",35,36157,2
"12073001801","Florida","Leon County","1",3966,1467,"1",37.1,35121,2
"51520020200","Virginia","Bristol city","1",5331,2387,"1",32.5,51540,2
"26163585600","Michigan","Wayne County","1",3545,1325,"1",26.4,53906,2
"37063001002","North Carolina","Durham County","1",5974,2002,"1",42.6,21760,2
"12086001301","Florida","Miami-Dade County","1",4545,2037,"1",22.8,42697,2
"22097960100","Louisiana","St. Landry Parish","0",2360,971,"1",28.5,34083,2
"42129806600","Pennsylvania","Westmoreland County","1",3180,1338,"0",14.9,64756,2
"48113017101","Texas","Dallas County","1",5144,1569,"1",16.2,57045,2
"36067005100","New York","Onondaga County","1",2434,862,"1",36.9,31961,2
"13121004000","Georgia","Fulton County","1",2231,870,"1",32.4,32163,2
"32003005703","Nevada","Clark County","0",1440,760,"1",7.1,36250,2
"6095250701","California","Solano County","1",2962,1011,"1",13.2,63587,2
"27123036700","Minnesota","Ramsey County","1",4222,1985,"1",8.7,76914,2
"48113012000","Texas","Dallas County","1",7184,2332,"1",24.2,34158,2
"48439104900","Texas","Tarrant County","1",2711,796,"1",17.3,48068,2
"36033950300","New York","Franklin County","0",5735,2283,"1",21.7,60984,2
"39115968900","Ohio","Morgan County","1",4007,1667,"1",19.3,45329,2
"39035104300","Ohio","Cuyahoga County","1",1603,901,"0",15,107333,2
"48453001000","Texas","Travis County","1",3656,1501,"1",12.2,56716,2
"8111972600","Colorado","San Juan County","0",699,344,"1",4.6,61719,2
"18097352800","Indiana","Marion County","1",1125,496,"1",21.3,32117,2
"48029171903","Texas","Bexar County","1",6626,2318,"1",14.4,53555,2
"6059099903","California","Orange County","1",5749,1457,"0",17.4,75750,2
"26163508000","Michigan","Wayne County","1",1343,696,"1",67.9,21513,2
"6067008913","California","Sacramento County","1",4145,1509,"1",11.4,59531,2
"8041000800","Colorado","El Paso County","1",2613,1323,"0",12.1,92885,2
"48201222800","Texas","Harris County","1",3561,894,"1",32.3,31435,2
"26125142100","Michigan","Oakland County","1",1636,562,"1",42.8,35197,2
"22083970600","Louisiana","Richland Parish","0",4154,1575,"1",24.6,51875,2
"20177003001","Kansas","Shawnee County","1",3370,1292,"0",16.7,58854,2
"42043023300","Pennsylvania","Dauphin County","1",4158,1559,"1",25.2,50536,2
"26121002000","Michigan","Muskegon County","1",3922,1531,"1",12.8,53076,2
"20001952600","Kansas","Allen County","0",2011,814,"0",7.1,66667,2
"26147624000","Michigan","St. Clair County","1",2014,856,"1",62.3,19816,2
"24510280200","Maryland","Baltimore city","1",4828,1826,"1",20,80758,2
"1073010302","Alabama","Jefferson County","1",4117,1601,"1",40.6,28664,2
"31031955900","Nebraska","Cherry County","0",1426,604,"0",12.7,63539,2
"8031003601","Colorado","Denver County","1",4651,1595,"1",23.5,40938,2
"17119400102","Illinois","Madison County","1",5603,2200,"1",29.6,55427,2
"53029970200","Washington","Island County","1",1633,275,"1",38.7,47946,2
"22009030700","Louisiana","Avoyelles Parish","0",7531,2250,"1",26.5,54567,2
"48113013615","Texas","Dallas County","1",5230,2239,"1",23.4,39976,2
"22019001600","Louisiana","Calcasieu Parish","1",5355,1361,"1",35.3,34250,2
"22079012800","Louisiana","Rapides Parish","1",1123,440,"1",17.5,36328,2
"29095011405","Missouri","Jackson County","1",3348,1297,"1",33.7,32679,2
"48249950500","Texas","Jim Wells County","1",6213,2087,"1",29,52580,2
"27053024903","Minnesota","Hennepin County","1",2301,775,"1",23.5,60861,2
"17183010100","Illinois","Vermilion County","0",3306,1324,"0",9.8,72995,2
"13047030500","Georgia","Catoosa County","1",5659,2503,"1",15.5,48875,2
"40079040500","Oklahoma","Le Flore County","0",5153,1991,"0",14.2,66071,2
"28029950200","Mississippi","Copiah County","0",4924,1877,"1",21.2,52813,2
"48277000300","Texas","Lamar County","0",6247,2459,"1",12.3,51515,2
"55107960400","Wisconsin","Rusk County","0",2981,1161,"1",12.2,54958,2
"17109010400","Illinois","McDonough County","1",7319,2975,"1",47.9,89922,2
"33005971300","New Hampshire","Cheshire County","1",3321,1513,"1",14.8,66627,2
"36057070200","New York","Montgomery County","1",2380,1122,"1",39.6,35000,2
"6071010020","California","San Bernardino County","1",7471,2505,"1",39.8,32329,2
"26065003700","Michigan","Ingham County","1",5262,2253,"1",27.2,48206,2
"13021012400","Georgia","Bibb County","1",4305,1603,"1",51.5,19718,2
"18089020500","Indiana","Lake County","1",3984,1230,"1",23,43293,2
"23019012500","Maine","Penobscot County","0",2561,1035,"0",13.4,56389,2
"49037978200","Utah","San Juan County","0",4904,1544,"0",17.9,75603,2
"48241950200","Texas","Jasper County","1",3475,1376,"0",15.9,62725,2
"48215021000","Texas","Hidalgo County","1",6520,2065,"1",36.5,28516,2
"29189213500","Missouri","St. Louis County","1",4983,2003,"1",9.8,59279,2
"6067006400","California","Sacramento County","1",5347,1719,"1",35.5,37452,2
"17131040200","Illinois","Mercer County","0",3754,1549,"1",22.3,54853,2
"18141001500","Indiana","St. Joseph County","1",3037,1269,"1",35.4,32314,2
"6111007100","California","Ventura County","1",6335,2670,"1",8.1,72167,2
"48443950100","Texas","Terrell County","0",984,430,"1",15,51023,2
"18141002900","Indiana","St. Joseph County","1",1170,321,"1",33.7,38218,2
"12085000800","Florida","Martin County","1",2088,774,"1",27.9,49000,2
"45019004300","South Carolina","Charleston County","1",2542,1036,"1",37.9,35625,2
"42013011002","Pennsylvania","Blair County","1",4226,1671,"1",14.5,53947,2
"29083950500","Missouri","Henry County","1",3995,1691,"1",19,47436,2
"36049950100","New York","Lewis County","0",2675,1028,"1",11.8,59358,2
"6115040600","California","Yuba County","1",6130,1846,"1",17.7,52622,2
"26107960500","Michigan","Mecosta County","1",4027,1714,"1",39.7,39091,2
"17003957700","Illinois","Alexander County","0",2172,907,"1",15.3,50268,2
"47093002700","Tennessee","Knox County","1",2496,1036,"1",39.1,25917,2
"13067030700","Georgia","Cobb County","1",4092,1629,"1",19,50058,2
"39153504400","Ohio","Summit County","1",1491,548,"1",47.3,26863,2
"19113001800","Iowa","Linn County","1",3149,1486,"1",7.6,56186,2
"51730810500","Virginia","Petersburg city","1",4455,1849,"1",28.9,40667,2
"9003420500","Connecticut","Hartford County","1",5442,2446,"0",5,91083,2
"12091021400","Florida","Okaloosa County","1",1489,489,"1",9.4,51281,2
"6071005300","California","San Bernardino County","1",5516,1570,"1",29.7,44464,2
"17103000600","Illinois","Lee County","1",3519,1510,"1",17,56928,2
"48063950200","Texas","Camp County","1",4825,1736,"1",20.6,57083,2
"18089012600","Indiana","Lake County","1",2707,903,"1",29.3,34694,2
"31181965100","Nebraska","Webster County","0",1838,845,"1",15.7,48359,2
"39023000400","Ohio","Clark County","1",2229,995,"1",38.6,32500,2
"16011950300","Idaho","Bingham County","0",5914,1847,"1",14.2,51023,2
"9009125300","Connecticut","New Haven County","1",5540,2119,"1",14.5,67917,2
"8071000100","Colorado","Las Animas County","0",3930,1688,"1",22.9,52805,2
"8041001700","Colorado","El Paso County","1",1564,826,"1",12.4,52230,2
"30111000300","Montana","Yellowstone County","1",4011,1551,"1",18.6,46992,2
"55105001600","Wisconsin","Rock County","1",5050,1796,"1",41.3,28906,2
"39099802400","Ohio","Mahoning County","1",2890,1163,"1",32.9,36442,2
"42051260500","Pennsylvania","Fayette County","0",6519,2533,"1",25.2,60861,2
"55107960500","Wisconsin","Rusk County","1",3709,1626,"1",19.4,50179,2
"36013036700","New York","Chautauqua County","0",4257,1444,"1",17,54844,2
"4013103306","Arizona","Maricopa County","1",3619,1120,"1",35.4,34788,2
"40109101500","Oklahoma","Oklahoma County","1",1656,754,"0",18.3,86607,2
"34029731201","New Jersey","Ocean County","1",4337,2798,"1",9.6,46250,2
"39035172103","Ohio","Cuyahoga County","1",4914,2850,"1",9.2,51125,2
"26125162500","Michigan","Oakland County","1",3483,1638,"0",15.9,66887,2
"27053026819","Minnesota","Hennepin County","1",4498,1958,"1",30.6,39091,2
"6065030400","California","Riverside County","1",6414,1592,"1",18.9,46622,2
"55053960300","Wisconsin","Jackson County","0",4077,1641,"0",10.6,66300,2
"12115002402","Florida","Sarasota County","1",3370,1858,"0",7.3,79514,2
"42017105812","Pennsylvania","Bucks County","1",1732,607,"0",4.9,92586,2
"5119003607","Arkansas","Pulaski County","1",5004,1831,"1",20.3,44838,2
"13089022700","Georgia","DeKalb County","1",4433,1685,"0",7.9,141434,2
"39029951800","Ohio","Columbiana County","1",3279,1366,"1",31.6,33500,2
"8031004103","Colorado","Denver County","1",5093,2087,"0",3.4,122266,2
"42007602800","Pennsylvania","Beaver County","1",2635,1205,"1",29.8,45704,2
"48113008400","Texas","Dallas County","1",9859,2662,"1",18.1,43803,2
"5093010900","Arkansas","Mississippi County","0",2768,923,"1",27.7,39063,2
"39061010300","Ohio","Hamilton County","1",1713,574,"1",32.8,29913,2
"37081011400","North Carolina","Guilford County","1",5291,1751,"1",60.3,19583,2
"39049002800","Ohio","Franklin County","1",2629,1173,"1",40.1,34898,2
"39035101101","Ohio","Cuyahoga County","1",1783,850,"1",43.8,29464,2
"26161413000","Michigan","Washtenaw County","1",3876,1556,"1",21.2,53072,2
"40147000900","Oklahoma","Washington County","1",2293,847,"1",29.9,30341,2
"17117956200","Illinois","Macoupin County","0",2519,1064,"1",15.1,61204,2
"45045003704","South Carolina","Greenville County","1",3818,1402,"1",27.5,39901,2
"13095010302","Georgia","Dougherty County","1",5627,1657,"1",51.9,23032,2
"9003510800","Connecticut","Hartford County","1",3143,1491,"1",10.4,56096,2
"12009065121","Florida","Brevard County","1",6262,2781,"1",13.7,52609,2
"51770000100","Virginia","Roanoke city","1",3794,1562,"1",24.1,46506,2
"12091020500","Florida","Okaloosa County","1",6934,2634,"0",17.6,67017,2
"16061950300","Idaho","Lewis County","0",36,19,"0",12.1,53750,2
"48467950200","Texas","Van Zandt County","1",3376,1229,"1",24.3,48661,2
"6065043508","California","Riverside County","1",7014,2563,"1",21.5,59955,2
"36103158007","New York","Suffolk County","1",9216,26,"0",0,120625,2
"48409010800","Texas","San Patricio County","1",4544,1488,"1",23.6,43750,2
"31047968000","Nebraska","Dawson County","0",2584,977,"0",9.3,63306,2
"19113002700","Iowa","Linn County","1",1549,762,"1",37,46186,2
"29105960100","Missouri","Laclede County","0",8360,3209,"0",12.3,54219,2
"55007960400","Wisconsin","Bayfield County","0",4926,2141,"0",11.1,61172,2
"28151000600","Mississippi","Washington County","1",2986,1099,"1",53,19508,2
"28109950600","Mississippi","Pearl River County","1",4352,1760,"1",26.6,43813,2
"20173005800","Kansas","Sedgwick County","1",4404,1542,"1",22.8,35385,2
"20175965900","Kansas","Seward County","1",6803,2150,"1",16.8,51400,2
"42007601600","Pennsylvania","Beaver County","1",1500,658,"1",13.7,61161,2
"48201531200","Texas","Harris County","1",3162,1381,"0",10,71917,2
"38101010700","North Dakota","Ward County","1",7038,3174,"0",15,75123,2
"27123031802","Minnesota","Ramsey County","1",3730,1489,"1",11.3,59880,2
"12031002801","Florida","Duval County","1",4777,1885,"1",33,32232,2
"12071000504","Florida","Lee County","1",2489,877,"1",33.6,33165,2
"45045002106","South Carolina","Greenville County","1",3363,1346,"1",30.5,31691,2
"36015001100","New York","Chemung County","1",3541,1406,"1",11.2,61328,2
"45091061602","South Carolina","York County","1",5312,1994,"1",10.3,54191,2
"24015030400","Maryland","Cecil County","1",4901,1803,"1",38.7,37776,2
"13135050520","Georgia","Gwinnett County","1",4737,1930,"1",19.4,57787,2
"51760060500","Virginia","Richmond city","1",5858,2878,"1",22.5,75728,2
"34015501604","New Jersey","Gloucester County","1",7654,2586,"0",6.2,96661,2
"39153505900","Ohio","Summit County","1",2423,1062,"1",20.8,36897,2
"20061000600","Kansas","Geary County","1",5838,1439,"1",15.6,42885,2
"41051009301","Oregon","Multnomah County","1",6045,2155,"1",26.9,48151,2
"45079010403","South Carolina","Richland County","1",3875,1965,"0",15.3,57245,2
"22083970500","Louisiana","Richland Parish","1",4869,1840,"1",48.6,26354,2
"24001000500","Maryland","Allegany County","1",2734,1044,"1",34.4,43616,2
"17167002700","Illinois","Sangamon County","1",3406,1576,"1",16.1,53438,2
"48113004100","Texas","Dallas County","1",1155,393,"1",41.8,24444,2
"29189213900","Missouri","St. Louis County","1",2189,734,"1",45.5,26622,2
"26017281300","Michigan","Bay County","1",3168,1305,"1",16.3,38819,2
"12005001200","Florida","Bay County","1",3269,1249,"1",28.4,49783,2
"22073000500","Louisiana","Ouachita Parish","1",3238,1453,"1",28.5,36976,2
"18097358000","Indiana","Marion County","1",1458,530,"1",26.9,45417,2
"48027022200","Texas","Bell County","1",3258,1493,"1",23.1,40575,2
"9009352200","Connecticut","New Haven County","1",2689,913,"1",37.5,31225,2
"37067000802","North Carolina","Forsyth County","1",2100,610,"1",58.2,21354,2
"22089062800","Louisiana","St. Charles Parish","1",4726,1659,"1",25.1,46633,2
"1073000800","Alabama","Jefferson County","1",3859,1658,"1",31.7,31250,2
"12113010600","Florida","Santa Rosa County","1",6115,2447,"1",15.8,51076,2
"42003504100","Pennsylvania","Allegheny County","1",5243,2435,"1",12.4,56417,2
"48215024301","Texas","Hidalgo County","0",1595,506,"1",27.3,41250,2
"34021002902","New Jersey","Mercer County","1",4740,1829,"1",7.8,77464,2
"46103010600","South Dakota","Pennington County","1",3451,1491,"1",17.1,54899,2
"22033002400","Louisiana","East Baton Rouge Parish","1",2682,1205,"1",33.3,31750,2
"4013112508","Arizona","Maricopa County","1",2148,632,"1",36.8,32717,2
"22027950400","Louisiana","Claiborne Parish","1",3567,1434,"1",46.5,23304,2
"51810040600","Virginia","Virginia Beach city","1",5879,2387,"1",16.7,46018,2
"17197882300","Illinois","Will County","1",4259,1541,"1",14.7,62194,2
"20065952100","Kansas","Graham County","0",996,465,"1",12.5,57917,2
"37135011400","North Carolina","Orange County","1",3834,1539,"1",42.8,168810,2
"44007017900","Rhode Island","Providence County","1",3049,1328,"1",35.7,36010,2
"42049001900","Pennsylvania","Erie County","1",1887,877,"1",26.7,32500,2
"4015950500","Arizona","Mohave County","0",1446,689,"1",27.3,33323,2
"4019002801","Arizona","Pima County","1",2330,1111,"1",37.5,43611,2
"39085202100","Ohio","Lake County","1",2373,1109,"1",14.9,41742,2
"6111007000","California","Ventura County","1",3907,1528,"0",14.7,87792,2
"22015010400","Louisiana","Bossier Parish","1",1753,631,"1",46.8,26250,2
"17163500900","Illinois","St. Clair County","1",3813,1488,"1",49.8,18827,2
"55025000600","Wisconsin","Dane County","1",5647,2064,"1",20.2,35906,2
"39113000900","Ohio","Montgomery County","1",3133,1194,"1",37,42750,2
"53065950100","Washington","Stevens County","0",7292,3158,"1",16,54009,2
"40051000400","Oklahoma","Grady County","1",3277,1321,"1",23.9,47287,2
"47157021620","Tennessee","Shelby County","1",3089,1120,"1",23,80855,2
"12099000205","Florida","Palm Beach County","1",5674,2136,"0",16.6,72260,2
"35031943600","New Mexico","McKinley County","0",5846,1665,"1",44.9,27297,2
"40109108010","Oklahoma","Oklahoma County","1",3058,1254,"1",17.5,51625,2
"4013115600","Arizona","Maricopa County","1",3864,1067,"1",30.5,40489,2
"42129802600","Pennsylvania","Westmoreland County","1",3627,1537,"1",21.8,63245,2
"51620090200","Virginia","Franklin city","1",3812,1549,"1",29.2,31215,2
"50019951500","Vermont","Orleans County","0",2562,1136,"1",22.2,46563,2
"12127080805","Florida","Volusia County","1",5688,2530,"1",17.1,43229,2
"47093000100","Tennessee","Knox County","1",1605,984,"1",29.8,113750,2
"48503950200","Texas","Young County","0",4493,1857,"0",10.5,64527,2
"6065043507","California","Riverside County","1",6700,2279,"1",24.6,34290,2
"36093021002","New York","Schenectady County","1",2341,1136,"1",49.8,39000,2
"20173008200","Kansas","Sedgwick County","1",6401,2290,"1",13.8,51181,2
"1073000100","Alabama","Jefferson County","1",3042,1128,"1",39.7,32107,2
"29189210300","Missouri","St. Louis County","1",3466,1365,"1",20.1,44830,2
"31055002800","Nebraska","Douglas County","1",3584,1048,"1",19.1,48333,2
"26141950500","Michigan","Presque Isle County","0",2679,1147,"0",11.7,59360,2
"27123031100","Minnesota","Ramsey County","1",3750,1344,"1",17.1,54123,2
"6015000102","California","Del Norte County","1",3769,1446,"1",36,47961,2
"1045020100","Alabama","Dale County","0",3823,1538,"0",16,56393,2
"22067950800","Louisiana","Morehouse Parish","1",3718,1401,"1",46.6,27227,2
"13285960501","Georgia","Troup County","1",4412,1719,"1",29.5,45726,2
"46135966100","South Dakota","Yankton County","1",3038,1386,"1",12.9,55871,2
"8069001306","Colorado","Larimer County","1",2003,660,"1",23.2,45946,2
"22049970100","Louisiana","Jackson Parish","0",2868,1209,"1",25.1,42969,2
"36093020300","New York","Schenectady County","1",1683,564,"1",29.3,38068,2
"48181000700","Texas","Grayson County","1",3971,1557,"1",19.3,48972,2
"6075060502","California","San Francisco County","1",3216,961,"1",36,30179,2
"37051000500","North Carolina","Cumberland County","1",2194,942,"1",47.4,28315,2
"6029003114","California","Kern County","1",7654,2311,"1",24.2,53690,2
"53033026002","Washington","King County","1",7911,2907,"1",20.7,64167,2
"35031943700","New Mexico","McKinley County","0",3854,1177,"1",37.2,32804,2
"12127082100","Florida","Volusia County","1",4569,1659,"1",55.3,21202,2
"39017012200","Ohio","Butler County","1",3226,1434,"1",31.6,42377,2
"51730810900","Virginia","Petersburg city","1",3461,1380,"1",23,33801,2
"4013092705","Arizona","Maricopa County","1",3702,1132,"1",13,48867,2
"17131040300","Illinois","Mercer County","1",3918,1687,"0",7.1,81250,2
"48215022702","Texas","Hidalgo County","1",5474,1700,"1",33.6,31883,2
"47157007000","Tennessee","Shelby County","1",3324,1323,"1",25.3,27331,2
"22051027703","Louisiana","Jefferson Parish","1",4091,1314,"1",21.1,43326,2
"5003960100","Arkansas","Ashley County","0",1928,775,"1",25.5,44286,2
"48479001001","Texas","Webb County","1",4768,1480,"1",31.5,44044,2
"28135950300","Mississippi","Tallahatchie County","0",5459,1098,"1",25.9,42872,2
"45025950800","South Carolina","Chesterfield County","0",2778,1060,"1",25.4,36481,2
"36049950600","New York","Lewis County","0",1818,748,"1",16.1,53690,2
